user_id,category_id,amount,description,expense_date,payment_method
1,1,2500,"Groceries from Reliance Fresh","2023-11-05","UPI"
1,2,800,"Ola cab to office","2023-11-07","Wallet"
1,3,1200,"Dinner at Barbeque Nation","2023-11-10","Credit Card"
1,4,3500,"Electricity bill","2023-11-12","Net Banking"
1,5,650,"Netflix subscription","2023-11-15","Debit Card"
1,6,4500,"New shirt and jeans from Pantaloons","2023-11-18","Credit Card"
1,7,1200,"Doctor visit","2023-11-20","Cash"
1,8,800,"Python course book","2023-11-22","UPI"
1,9,15000,"House rent","2023-11-25","NEFT"
1,10,500,"Donation to temple","2023-11-28","Cash"
2,1,1800,"Groceries from D-Mart","2023-11-03","UPI"
2,2,500,"Auto rickshaw fares","2023-11-06","Cash"
2,3,900,"Lunch at McDonalds","2023-11-09","Debit Card"
2,4,2800,"Mobile and internet bill","2023-11-11","UPI"
2,5,300,"Amazon Prime subscription","2023-11-16","Credit Card"
2,6,3200,"New headphones","2023-11-19","EMI"
2,7,600,"Medicines","2023-11-21","Cash"
2,8,1200,"Online course fee","2023-11-23","Net Banking"
2,9,12000,"House rent","2023-11-26","NEFT"
2,10,300,"Bus charity","2023-11-29","Cash"
3,1,3000,"Groceries from Nature's Basket","2023-11-04","Credit Card"
3,2,1500,"Petrol for bike","2023-11-08","Wallet"
3,3,1500,"Dinner at Punjab Grill","2023-11-11","Credit Card"
3,4,4200,"Gas cylinder refill","2023-11-13","UPI"
3,5,850,"Disney+ Hotstar subscription","2023-11-17","Debit Card"
3,6,5500,"New mobile phone","2023-11-20","EMI"
3,7,1800,"Dental checkup","2023-11-22","Cash"
3,8,2000,"Data science course","2023-11-24","Net Banking"
3,9,18000,"House rent","2023-11-27","NEFT"
3,10,1000,"Gift for friend's wedding","2023-11-30","UPI"